Unnamed: 0,genres,overview
1119,[],"['scatterbrained', 'heiress', 'open', 'home', 'succession', 'unemployed', 'actor', 'vaudeville', 'performers', 'decides', 'produce', 'show', 'much', 'consternation', 'father', 'sister', 'sister', 's', 'boyfriend', 'actually', 'young', 'girl', 's', 'money']"
1120,[],"['young', 'girl', 'run', 'away', 'carnival', 'family', 'make', 'new', 'york', 'becomes', 'involved', 'young', 'songwriter']"
1262,[],"['friend', 'flash', 'back', 'fight', 'pal', 'left', 'one', 'dead', 'earlier', 'night', 'la', 'vegas']"
1263,[],"['seth', 'youth', 'artistic', 'leanings', 'fascination', 'black', 'pop', 'culture', 'dead', 'end', 'life', 'adirondack', 'village', 'he', 's', 'alternatively', 'sensitive', 'brutal', 'kristen', 'want', 'sexual', 'relationship', 'explosively', 'rejects', 'late', 'one', 'night', 'he', 's', 'closing', 'cafe', 'works', 'young', 'black', 'man', 'attempt', 'rob', 'gun', 'point', 'faint', 'illness', 'seth', 'take', 'man', 'knowledge', 'escapee', 'nearby', 'prison', 'family', 'cabin', 'nurse', 'begin', 'tentative', 'friendship', 'sheriff', 'learns', 'seth', 's', 'harboring', 'fugitive', 'confrontation', 'looms', 'relationship', 'father', 'child', 'dominate', 'subplots']"
1272,[],"['kid', 'survival', 'emmy', 'award', 'winning', 'feature', 'length', 'documentary', 'three', 'year', 'work', 'struggle', 'inside', 'acclaimed', 'south', 'bronx', 'art', 'education', 'group', 'tim', 'rollins', 'k', 'o', 's', 'decade', 'artist', 'educator', 'tim', 'rollins', 'working', 'puerto', 'rican', 'dominican', 'teenager', 'bronx', 'ha', 'made', 'large', 'scale', 'painting', 'hanging', 'major', 'museum', 'collection', 'around', 'world', 'kid', 'survival', 'five', 'teenage', 'boy', 'bronx', 'use', 'talent', 'modern', 'artist', 'wage', 'crucial', 'personal', 'battle']"
1405,[],"['wa', 'nightmare', 'shocked', 'new', 'york', 'america', 'public', 'outcry', 'willowbrook', 'state', 'school', 'people', 'developmental', 'disability', 'resulted', 'geraldo', 'rivera', 's', 'expose', 'wabc', 'entered', 'willowbrook', 'film', 'crew', 'using', 'stolen', 'key']"
1461,[],"['young', 'merchant', 'marine', 'turn', 'english', 'coastal', 'town', 'looking', 'brother', 'barely', 'knows', 'brother', 's', 'wife', 'rebuke', 'take', 'beasley', 'family', 'however', 'soon', 'mother', 'daughter', 'chasing', 'ending', 'man', 's', 'bed', 'however', 'soon', 'woman', 'start', 'showing', 'time', 'little', 'much', 'him']"
1473,[],"['jack', 'judy', 'husband', 'wife', 'howard', 'judys', 'father', 'live', 'fictional', 'undemocratic', 'repressive', 'country', 'tell', 'u', 'story', 'lives', 'mostly', 'jack', 's', 'point', 'view']"
1483,[],"['high', 'school', 'basketball', 'coach', 'dinah', 'groshardt', 'fall', 'school', 'secretary', 'carly', 'lumpkin', 'upset', 'entire', 'school', 'process']"
1489,[],"['backstage', 'broadway', 'show']"
1625,[],"['young', 'female', 'filmmaker', 'look', 'camera', 'object', 'film', 'want', 'film', 'private', 'live', 'ordinary', 'person', 'start', 'following', 'guy', 'irritated', 'girl', 'following', 'him', 'always', 'looking', 'camera', 'never', 'showing', 'herself', 'doe', 'even', 'say', 'name', 'follows', 'even', 'home', 'bedroom', 'try', 'get', 'rid', 'doe', 'stop', 'get', 'used', 'camera', 'girl', 'behind', 'try', 'get', 'involved', 'her', 'first', 'protects', 'camera', 'can', 'not', 'keep', 'barrier', 'up', 'feeling', 'guy', 's', 'action', 'become', 'confusing', 'guy', 'disappears', 'mysteriously']"
1626,[],"['directed', 'goetz', 'grossmann']"
1632,[],"['film', 'stephen', 'kijak']"
1657,[],"['true', 'story', 'four', 'jewish', 'intellectual', 'born', 'new', 'york', 'educated', 'city', 'college', 's', 'divergent', 'path', 'next', 'six', 'decades']"
1734,[],"['dante', 'girlfrend', 'micky', 'run', 'profitable', 'drug', 'operation', 'seaside', 'town', 'aided', 'abetted', 'host', 'teen', 'sell', 'smack', 'disco', 'around', 'town', 'well', 'lucas', 'corrupt', 'cop', 'who', 's', 'take', 'downfall', 'come', 'suspect', 'one', 'boys', 'pep', 'ripping', 'off', 'accidental', 'death', 'cause', 'disloyalty', 'among', 'teens', 'suspect', 'dante', 'offed', 'them', 'perfect', 'return', 'gabriel', 'one', 'time', 'partner', 'dante', 'ha', 'released', 'jail', 'ha', 'almost', 'angelic', 'demeanor', 'certainty', 'fix', 'everyone', 's', 'lives']"
1768,[],"['adaptation', 'classic', 'novel', 'louisa', 'may', 'alcott', 'two', 'street', 'kid', 'boston', 'find', 'plumfield', 'rural', 'boarding', 'school', 'run', 'jo', 'husband', 'soon', 'learn', 'academic', 'life', 'lesson', 'ever', 'forget']"
1792,[],"['age', 'native', 'son', 'tim', 'kirkman', 'return', 'north', 'carolina', 'explore', 'parallel', 'difference', 'jesse', 'helms', 'they', 're', 'town', 'college', 'medium', 'interests', 'family', 'blessed', 'adoptions', 'baptist', 'upbringing']"
2047,[],"['incredibly', 'bride', 'altar', 'fall', 'love', 'best', 'man', 'first', 'sight', 'even', 'though', 'make', 'effort', 'avoid', 'infatuation', 'him', 'determined', 'annul', 'marriage', 'marry', 'best', 'man', 'although', 'able', 'dissolve', 'marriage', 'ha', 'never', 'consummated', 'it', 'best', 'man', 'leaves', 'return', 'many', 'month', 'later']"
2104,[],"['story', 'johann', 'strauss', 'elder', 'younger']"
2123,[],"['woman', 'interview', 'friends', 'talking', 'sex']"
2213,[],"['confusing', 'reality', 'surface', 'paranoid', 'film', 'dealing', 'fragile', 'nature', 'young', 'woman', 'anne', 'parillaud', 'recovering', 'rape', 'apparent', 'attempted', 'suicide', 'one', 'reality', 'killer', 'destroyer', 'men', 'another', 'new', 'wife', 'jamaican', 'honeymoon', 'husband', 'william', 'baldwin', 'trying', 'help', 'recover', 'real', 'question', 'story', 'unfolds']"
2302,[],"['fifteen', 'year', 'traveling', 'around', 'world', 'gussie', 'spacek', 'famous', 'photographer', 'return', 'maryland', 'coastal', 'resort', 'grew']"
2371,[],"['hollywood', 'know', 'person', 'two', 'friend', 'know', 'serial', 'killer']"
2376,[],"['woman', 'journalist', 'zoe', 'know', 'better', 'go', 'story', 'mind', 'already', 'made', 'up', 'that', 's', 'exactly', 'doe', 'head', 'spain', 'write', 'men', 'macho', 'take', 'as', 'see', 'it', 'relationships', 'try', 'prove', 'thesis', 'soon', 'realizes', 'know', 'much', 'male', 'sex', 'thought', 'also', 'find', 'involved', 'relationship', 'wrong', 'men']"
2463,[],"['triangle', 'love', 'obsession', 'choice', 'pierre', 'ladies', 'man', 'ha', 'little', 'cash', 'fixed', 'residence', 'describes', 'best', 'friend', 'benoît', 'world', 's', 'oldest', 'year', 'old', 'shy', 'well', 'employed', 'benoît', 's', 'life', 'change', 'answer', 'personal', 'ad', 'marie', 'year', 'old', 'restores', 'paintings', 'he', 's', 'attracted', 'like', 'steady', 'calm', 'honest', 'attention', 'they', 're', 'soon', 'couple', 'include', 'pierre', 'dinners', 'outings', 'trips', 'happen', 'pierre', 'realizes', 'love', 'marie']"
2478,[],"['suicidal', 'older', 'man', 'gordon', 'trout', 'kidnapped', 'car', 'money', 'three', 'runaway', 'teenager', 'live', 'streets', 'experience', 'together', 'make', 'close', 'knit', 'family', 'nature', 'crime', 'committed', 'could', 'tear', 'apart', 'intricacy', 'complex', 'relationship', 'explored', 'emotional', 'story', 'twist', 'turns']"
2487,[],"['richard', 'kate', 'former', 'lover', 'working', 'independently', 'find', 'secret', 'aging', 'process', 'apply', 'funding', 'michael', 'foundation', 'asked', 'spend', 'weekend', 'discussing', 'proposal', 'head', 'foundation', 'happens', 'married', 'australian', 'treasurer', 'interesting', 'weekend']"
